pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,28,3,115,3,,,,,387.949247200042,388.9496204997413,388.9496204997413,388.9496204997413,388.9496204997413,388.9496204997413,389.9500071997754,389.9500071997754,z,1,2.919547200202942,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,29,0,116,0,,,,,392.9011141001247,393.88482679985464,393.88482679985464,393.88482679985464,393.88482679985464,393.90103220008314,394.8852097000927,394.8852097000927,x,1,1.2159206001088023,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,29,1,117,1,,,,,396.11900650011376,397.1186401997693,397.1186401997693,397.1186401997693,397.1186401997693,397.1186401997693,398.1024099998176,398.1024099998176,v,1,1.1073823003098369,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,29,2,118,2,,,,,399.23685339977965,400.2366963997483,400.2366963997483,400.2366963997483,400.2366963997483,400.2366963997483,401.23687999974936,401.23687999974936,c,1,0.7136575002223253,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,29,3,119,3,,,,,401.9712227000855,402.9710900001228,402.9710900001228,402.9710900001228,402.9710900001228,402.9710900001228,403.97145589999855,403.97145589999855,z,1,0.8100131000392139,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,30,0,120,0,,,,,404.80562710016966,405.8058151998557,405.8058151998557,405.8058151998557,405.8058151998557,405.8058151998557,406.80638570012525,406.80638570012525,x,1,0.7106490000151098,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,30,1,121,1,,,,,407.5399960000068,408.54038259992376,408.54038259992376,408.54038259992376,408.54038259992376,408.54038259992376,409.52408149978146,409.52408149978146,v,1,0.5357098998501897,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,30,2,122,2,,,,,410.0909675001167,411.09134879987687,411.09134879987687,411.09134879987687,411.09134879987687,411.09134879987687,412.0750465001911,412.0750465001911,c,1,1.720468900166452,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,30,3,123,3,,,,,413.824993299786,414.8254015999846,414.8254015999846,414.8254015999846,414.8254015999846,414.8254015999846,415.8264715997502,415.8264715997502,z,1,0.5249099005013704,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,31,0,124,0,,,,,416.37667689984664,417.37705630017444,417.37705630017444,417.37705630017444,417.37705630017444,417.37705630017444,418.377431999892,418.377431999892,x,1,0.7271202998235822,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,31,1,125,1,,,,,419.1277152998373,420.11142680002376,420.11142680002376,420.11142680002376,420.11142680002376,420.12810479989275,421.11107649980113,421.11107649980113,v,1,1.5709510003216565,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
